-65|0.000164428|-220
|Index|joint1_pos|joint2_pos|joint3_pos|joint1_vel|joint2_vel|joint3_vel|
|420|118146|66187.8|165189|-125100|19894.4|-243672|
|421|116911|66416.5|162753|-121976|25862|-243570|
|422|115707|66705.2|160318|-118720|31888.4|-243316|
|423|114537|67054.4|157887|-115333|37961.9|-242903|
|424|113401|67464.5|155461|-111819|44070.3|-242325|
|425|112301|67935.8|153041|-108205|50188.3|-241613|
|426|111237|68468.3|150629|-104518|56294.9|-240798|
|427|110211|69061.7|148225|-100760|62383.8|-239877|
|428|109222|69715.9|145832|-96931.9|68448.9|-238845|
|429|108272|70430.6|143449|-93035.1|74483.6|-237701|
|430|107362|71205.4|141078|-89071.5|80481.6|-236439|
|431|106491|72040.1|138720|-85043.1|86436.4|-235058|
|432|105661|72934|136377|-80951.8|92341.5|-233555|
|433|104872|73886.7|134050|-76800|98190.5|-231926|
|434|104125|74897.6|131739|-72590.2|103977|-230168|
|435|103421|75966|129447|-68324.9|109695|-228280|
|436|102759|77091.2|127174|-64006.8|115338|-226259|
|437|102141|78272.5|124922|-59639.1|120899|-224103|
|438|101566|79508.9|122692|-55224.6|126374|-221810|
|439|101036|80799.7|120486|-50766.6|131757|-219379|
|440|100551|82143.7|118305|-46268.5|137042|-216807|
|441|100111|83540.2|116151|-41733.6|142223|-214095|
|442|99716.7|84987.8|114024|-37165.7|147297|-211240|
|443|99368|86485.7|111926|-32568.2|152258|-208244|
|444|99065.4|88032.6|109860|-27945|157102|-205105|
|445|98809.1|89627.4|107825|-23299.9|161825|-201824|
|446|98599.5|91268.7|105824|-18636.7|166424|-198400|
|447|98436.5|92955.4|103857|-13959.3|170894|-194836|
|448|98320.3|94686.2|101927|-9271.66|175234|-191132|
|449|98251|96459.6|100035|-4577.74|179441|-187288|
|450|98228.8|98274.5|98181.9|118.528|183511|-183308|
|451|98253.4|100129|96369.3|4813.2|187444|-179193|
|452|98325|102023|94598.5|9502.36|191238|-174945|
|453|98443.4|103954|92870.8|14182.1|194892|-170568|
|454|98608.6|105920|91187.6|18848.7|198404|-166063|
|455|98820.3|107921|89550|23498.2|201775|-161435|
|456|99078.5|109955|87959.3|28127|205003|-156686|
|457|99382.8|112021|86416.7|32731.4|208090|-151822|
|458|99733|114117|84923.2|37307.9|211035|-146845|
|459|100129|116241|83480.1|41853.1|213840|-141760|
|460|100570|118393|82088.4|46363.4|216505|-136572|
|461|101056|120571|80749|50835.8|219031|-131285|
|462|101587|122773|79463|55267|221419|-125906|
|463|102161|124999|78231.2|59654|223672|-120438|
|464|102779|127246|77054.5|63993.9|225792|-114887|
|465|103441|129514|75933.7|68283.9|227779|-109259|
|466|104145|131801|74869.6|72521.2|229637|-103560|
|467|104891|134106|73862.7|76703.5|231368|-97795.1|
|468|105679|136428|72913.8|80828.3|232974|-91970.3|
|469|106508|138766|72023.5|84893.2|234457|-86091.8|
|470|107377|141117|71192.2|88896.2|235821|-80165.6|
|471|108285|143482|70420.3|92835.3|237069|-74197.9|
|472|109233|145858|69708.3|96708.5|238202|-68194.6|
|473|110219|148245|69056.5|100514|239225|-62162|
|474|111243|150642|68465.2|104251|240139|-56106.1|
|475|112304|153048|67934.5|107917|240949|-50033|
|476|113401|155461|67464.5|111510|241657|-43948.7|
|477|114534|157880|67055.5|115006|242231|-37873.9|
|478|115701|160305|66707|118374|242642|-31833.8|
|479|116901|162733|66418.6|121613|242896|-25840.2|
|480|118133|165162|66190|124721|242999|-19904.8|
|481|119395|167592|66020.3|127696|242957|-14038.8|
|482|120686|170021|65908.9|130537|242777|-8252.61|
|483|122005|172447|65854.9|133244|242465|-2556.33|
|484|123351|174870|65857.5|135815|242027|3040.58|
|485|124721|177287|65915.4|138252|241471|8529.27|
|486|126115|179699|66027.7|140553|240801|13901.4|
|487|127532|182103|66193|142721|240026|19149.4|
